,F50FHur,F55FHur,F60FHur,FShortHur,FLongHur,FSteeple.,F1500mWalk,FMileWalk,F3kmWalk,F5kmWalk,F8kmWalk,F10kmWalk,F15kmWalk,F20kmWalk,FH.Mar.Walk,F25kmWalk,F30kmWalk,F40kmWalk,FMar.Walk,F50kmWalk,FHighJump,FPoleVault,FLongJump,FTripleJump,FHammer,FShotput,FDiscus,FJavelin,FWeight,F50m,F55m,F60m,F100m,F200m,F300m,F400m,F500m,F600m,F800m,F1000m,F1500m,Fmile,F2km,F3km,F2Mile,F4km,F3Mile,F5km,F6km,F4Mile,F8km,F5Mile,F10km
Event,50Hur,55Hur,60Hur,ShortHur,LongHur,Steeple,1500mWalk,1MileWalk,3kmWalk,5kmWalk,8kmWalk,10kmWalk,15kmWalk,20kmWalk,H.Mar.Walk,25kmWalk,30kmWalk,40kmWalk,Mar.Walk,50kmWalk,HighJump,PoleVault,LongJump,TripleJump,Hammer,Shotput,Discus,Javelin,Weight,50m,55m,60m,100m,200m,300m,400m,500m,600m,800m,1000m,1500m,1Mile,2km,3km,2Mile,4km,3Mile,5km,6km,4Mile,8km,5Mile,10km
52,0.8172,0.8172,0.8172,1.0278,1.1186,1.2167,0.8725,0.8725,0.8722,0.8703,0.8673,0.8653,0.8611,0.8574,0.8567,0.8542,0.8514,0.8466,0.8456,0.8425,1.2744,1.4714,1.2921,1.3293,1.2974,1.4377,1.3545,1.4314,1.2861,0.8475,0.8475,0.8475,0.8381,0.8205,0.8119,0.8032,0.8197,0.8363,0.8693,0.8549,0.819,0.8202,0.8239,0.831,0.8322,0.8361,0.8396,0.8402,0.8437,0.845,0.8493,0.8495,0.854
53,0.8078,0.8078,0.8078,1.0158,1.1,1.208,0.865,0.865,0.8643,0.862,0.8586,0.8564,0.8518,0.8479,0.8471,0.8446,0.8416,0.8365,0.8355,0.8322,1.2981,1.5015,1.3101,1.349,1.3221,1.4638,1.3803,1.4673,1.3097,0.8389,0.8389,0.8389,0.8297,0.8116,0.8037,0.7957,0.8113,0.8269,0.8581,0.8439,0.8083,0.8095,0.8132,0.8201,0.8213,0.8252,0.8286,0.8292,0.8325,0.8338,0.838,0.8381,0.8425
54,0.7994,0.7994,0.7994,1.0041,1.0823,1.1993,0.8575,0.8575,0.8563,0.8536,0.8497,0.8474,0.8424,0.8383,0.8375,0.8347,0.8316,0.8263,0.8252,0.8218,1.3145,1.5282,1.331,1.368,1.3478,1.4908,1.4071,1.5052,1.3348,0.8304,0.8304,0.8304,0.8212,0.8028,0.7955,0.7881,0.8028,0.8175,0.8468,0.8327,0.7976,0.7988,0.8024,0.8092,0.8104,0.8142,0.8176,0.8182,0.8214,0.8226,0.8266,0.8268,0.831
55,0.7903,0.7903,0.7903,0.9919,1.0651,1.1908,0.85,0.8499,0.8482,0.8451,0.8408,0.8383,0.8329,0.8286,0.8277,0.8248,0.8215,0.8159,0.8148,0.8113,1.331,1.5606,1.3502,1.3889,1.3745,1.5191,1.4348,1.545,1.3601,0.8219,0.8219,0.8219,0.8127,0.7939,0.7872,0.7805,0.7943,0.8081,0.8356,0.8217,0.7869,0.7881,0.7916,0.7984,0.7995,0.8033,0.8066,0.8072,0.8102,0.8114,0.8153,0.8154,0.8195
56,0.7815,0.7815,0.7815,0.9815,1.0485,1.1701,0.8424,0.8423,0.84,0.8364,0.8317,0.829,0.8233,0.8187,0.8178,0.8147,0.8113,0.8055,0.8043,0.8006,1.3484,1.5944,1.3698,1.4091,1.4023,1.5489,1.4637,1.587,1.3866,0.8142,0.8142,0.8142,0.805,0.7859,0.7798,0.7736,0.7862,0.7988,0.8239,0.8103,0.7763,0.7774,0.7809,0.7875,0.7886,0.7923,0.7955,0.7961,0.7991,0.8002,0.804,0.8041,0.808
57,0.7729,0.7729,0.7729,0.9706,1.0323,1.1502,0.8346,0.8344,0.8317,0.8276,0.8225,0.8196,0.8136,0.8087,0.8077,0.8046,0.801,0.7949,0.7937,0.7898,1.366,1.6297,1.3926,1.4312,1.4312,1.5792,1.4936,1.6313,1.4149,0.8065,0.8065,0.8065,0.7974,0.7779,0.7723,0.7667,0.7781,0.7894,0.8121,0.7988,0.7656,0.7667,0.7701,0.7766,0.7777,0.7814,0.7845,0.7851,0.7879,0.789,0.7926,0.7927,0.7965
58,0.7644,0.7644,0.7644,0.9599,1.0165,1.1309,0.8267,0.8265,0.8232,0.8187,0.8132,0.8101,0.8037,0.7986,0.7976,0.7943,0.7905,0.7842,0.7829,0.7789,1.3933,1.6667,1.4135,1.4527,1.4614,1.6107,1.525,1.6782,1.4434,0.7987,0.7987,0.7987,0.7897,0.77,0.7649,0.7598,0.77,0.7801,0.8004,0.7874,0.7549,0.756,0.7594,0.7657,0.7668,0.7704,0.7735,0.7741,0.7768,0.7778,0.7813,0.7814,0.785
59,0.7569,0.7569,0.7569,0.9495,1.0013,1.1122,0.8187,0.8185,0.8146,0.8097,0.8037,0.8005,0.7937,0.7883,0.7873,0.7838,0.7799,0.7733,0.772,0.7679,1.4122,1.7053,1.4351,1.4762,1.4928,1.6434,1.5578,1.7278,1.4732,0.791,0.791,0.791,0.7821,0.762,0.7575,0.7529,0.7618,0.7708,0.7886,0.7759,0.7442,0.7453,0.7486,0.7549,0.7559,0.7594,0.7625,0.7631,0.7657,0.7666,0.7699,0.77,0.7735
60,0.7667,0.7667,0.7667,0.9502,1.0941,1.0941,0.8106,0.8103,0.8059,0.8005,0.7942,0.7907,0.7836,0.778,0.7769,0.7733,0.7692,0.7623,0.761,0.7567,1.4307,1.7458,1.4596,1.499,1.5256,1.6782,1.5918,1.746,1.2741,0.7833,0.7833,0.7833,0.7744,0.754,0.75,0.746,0.7537,0.7615,0.7769,0.7645,0.7335,0.7346,0.7378,0.744,0.745,0.7485,0.7515,0.7521,0.7545,0.7554,0.7586,0.7587,0.762
61,0.7569,0.7569,0.7569,0.9314,1.0767,1.0767,0.8024,0.802,0.797,0.7912,0.7845,0.7808,0.7734,0.7675,0.7663,0.7626,0.7583,0.7513,0.7499,0.7454,1.4514,1.7882,1.4832,1.5241,1.56,1.7144,1.6275,1.7844,1.3024,0.7763,0.7763,0.7763,0.7674,0.7468,0.7433,0.7397,0.7453,0.7509,0.7621,0.7509,0.7229,0.7239,0.7271,0.7331,0.7341,0.7375,0.7405,0.741,0.7434,0.7443,0.7472,0.7473,0.7505
