,F50FHur,F55FHur,F60FHur,FShortHur,FLongHur,FSteeple.,F1500mWalk,FMileWalk,F3kmWalk,F5kmWalk,F8kmWalk,F10kmWalk,F15kmWalk,F20kmWalk,FH.Mar.Walk,F25kmWalk,F30kmWalk,F40kmWalk,FMar.Walk,F50kmWalk,FHighJump,FPoleVault,FLongJump,FTripleJump,FHammer,FShotput,FDiscus,FJavelin,FWeight,F50m,F55m,F60m,F100m,F200m,F300m,F400m,F500m,F600m,F800m,F1000m,F1500m,Fmile,F2km,F3km,F2Mile,F4km,F3Mile,F5km,F6km,F4Mile,F8km,F5Mile,F10km
Event,50Hur,55Hur,60Hur,ShortHur,LongHur,Steeple,1500mWalk,1MileWalk,3kmWalk,5kmWalk,8kmWalk,10kmWalk,15kmWalk,20kmWalk,H.Mar.Walk,25kmWalk,30kmWalk,40kmWalk,Mar.Walk,50kmWalk,HighJump,PoleVault,LongJump,TripleJump,Hammer,Shotput,Discus,Javelin,Weight,50m,55m,60m,100m,200m,300m,400m,500m,600m,800m,1000m,1500m,1Mile,2km,3km,2Mile,4km,3Mile,5km,6km,4Mile,8km,5Mile,10km
86,0.4678,0.4678,0.4678,0.4358,0.6085,0.6085,0.556,0.554,0.5356,0.5187,0.5018,0.4933,0.4771,0.465,0.4627,0.4552,0.4471,0.4337,0.4312,0.4231,2.3483,4.5575,2.705,2.6957,3.5632,3.6857,3.1411,3.9502,2.9574,0.5709,0.5709,0.5709,0.5215,0.4886,0.4688,0.449,0.4411,0.4331,0.4172,0.4221,0.4343,0.4343,0.4341,0.4336,0.4337,0.4339,0.4337,0.4335,0.4368,0.4387,0.4416,0.4416,0.445
87,0.4502,0.4502,0.4502,0.4193,0.5824,0.5824,0.5445,0.5425,0.5235,0.5062,0.4889,0.4802,0.4636,0.4513,0.4489,0.4413,0.433,0.4194,0.4169,0.4086,2.4302,4.8585,2.8271,2.8182,3.7561,3.8618,3.3089,4.1524,3.1176,0.5554,0.5554,0.5554,0.5052,0.469,0.4525,0.4359,0.4281,0.4204,0.4048,0.4079,0.4158,0.4158,0.4154,0.4145,0.4146,0.4147,0.4143,0.414,0.4177,0.4198,0.4231,0.4231,0.427
88,0.434,0.434,0.434,0.4028,0.5583,0.5583,0.5329,0.5309,0.5113,0.4936,0.4759,0.467,0.45,0.4374,0.435,0.4273,0.4188,0.405,0.4024,0.3939,2.5181,5.202,2.9606,2.9524,3.9711,4.0556,3.4957,4.3739,3.2915,0.5398,0.5398,0.5398,0.4888,0.4495,0.4362,0.4229,0.4153,0.4077,0.3925,0.3935,0.3961,0.3961,0.3956,0.3942,0.3944,0.3944,0.3938,0.3935,0.3976,0.3999,0.4036,0.4037,0.408
89,0.4188,0.4188,0.4188,0.3864,0.5362,0.5362,0.5212,0.5191,0.499,0.4808,0.4627,0.4536,0.4363,0.4235,0.421,0.4132,0.4045,0.3904,0.3878,0.3792,2.5802,5.5978,3.1074,3.1,4.2123,4.2698,3.7048,4.6232,3.4911,0.5243,0.5243,0.5243,0.4725,0.4299,0.4199,0.4098,0.4024,0.395,0.3801,0.3787,0.3752,0.3752,0.3746,0.3729,0.3731,0.3731,0.3724,0.372,0.3765,0.3791,0.3831,0.3832,0.388
90,0.4047,0.4047,0.4047,0.37,0.5158,0.5158,0.5094,0.5072,0.4866,0.4679,0.4494,0.4401,0.4225,0.4094,0.4069,0.3989,0.3901,0.3757,0.373,0.3643,2.6795,6.0588,3.2696,3.2632,4.4837,4.5143,3.9416,4.9021,3.7131,0.5088,0.5088,0.5088,0.4561,0.4104,0.4036,0.3967,0.3895,0.3822,0.3677,0.3635,0.3531,0.3532,0.3524,0.3506,0.3508,0.3508,0.3499,0.3495,0.3543,0.3572,0.3616,0.3617,0.367
91,0.3845,0.3845,0.3845,0.3556,0.4751,0.4751,0.4974,0.4952,0.474,0.4549,0.436,0.4265,0.4085,0.3952,0.3926,0.3845,0.3755,0.3609,0.3582,0.3493,2.7867,0,3.4495,3.4444,4.7945,4.7844,4.2105,5.218,3.9664,0.4885,0.4885,0.4885,0.4348,0.3911,0.386,0.3808,0.3743,0.3679,0.3549,0.3478,0.3299,0.3299,0.3292,0.3271,0.3275,0.3275,0.3265,0.3259,0.3312,0.3343,0.3391,0.3392,0.345
92,0.3662,0.3662,0.3662,0.3411,0.4403,0.4403,0.4853,0.483,0.4613,0.4418,0.4224,0.4128,0.3945,0.3808,0.3783,0.37,0.3608,0.346,0.3432,0.3342,2.9028,0,3.6505,3.6471,5.1505,5.0854,4.5176,5.5725,4.2599,0.4681,0.4681,0.4681,0.4135,0.3718,0.3684,0.3649,0.3592,0.3535,0.3421,0.3316,0.3054,0.3055,0.3047,0.3026,0.303,0.3031,0.302,0.3014,0.3071,0.3105,0.3157,0.3157,0.322
93,0.3495,0.3495,0.3495,0.3267,0.4103,0.4103,0.4731,0.4707,0.4485,0.4286,0.4088,0.3989,0.3802,0.3664,0.3638,0.3553,0.346,0.331,0.3281,0.3189,2.9857,0,3.8763,3.875,5.5636,5.4269,4.8731,5.9836,4.5914,0.4478,0.4478,0.4478,0.3923,0.3524,0.3508,0.3491,0.3442,0.3392,0.3293,0.3151,0.2797,0.2799,0.2792,0.277,0.2775,0.2777,0.2766,0.2759,0.282,0.2856,0.2912,0.2913,0.298
94,0.3343,0.3343,0.3343,0.3122,0.3841,0.3841,0.4608,0.4583,0.4356,0.4152,0.395,0.3849,0.3659,0.3518,0.3491,0.3405,0.3311,0.3158,0.3129,0.3035,3.1194,0,4.1319,4.1333,6.0487,5.8325,5.2929,6.4602,4.9894,0.4274,0.4274,0.4274,0.371,0.3331,0.3332,0.3332,0.329,0.3249,0.3165,0.2983,0.2528,0.2532,0.2525,0.2503,0.251,0.2514,0.2501,0.2494,0.2559,0.2598,0.2657,0.2658,0.273
95,0.3204,0.3204,0.3204,0.2978,0.3611,0.3611,0.4483,0.4458,0.4225,0.4017,0.3811,0.3708,0.3515,0.3371,0.3344,0.3256,0.316,0.3005,0.2975,0.2881,3.2656,0,4.4235,4.4286,6.6247,6.2845,5.7868,7.0157,5.4529,0.4071,0.4071,0.4071,0.3497,0.3138,0.3156,0.3173,0.3139,0.3105,0.3037,0.2811,0.2247,0.2252,0.2246,0.2225,0.2234,0.2239,0.2227,0.2219,0.2288,0.2329,0.2392,0.2393,0.247
96,0.3009,0.3009,0.3009,0.2866,0.3286,0.3286,0.4357,0.4332,0.4093,0.388,0.3671,0.3566,0.3369,0.3223,0.3195,0.3106,0.3008,0.285,0.282,0.2724,3.4262,0,4.8205,4.8287,7.3264,6.8163,6.384,7.6761,6.0204,0.374,0.374,0.374,0.3281,0.2994,0.3008,0.3022,0.2995,0.2968,0.2913,0.2639,0.1955,0.1961,0.1957,0.1936,0.1947,0.1955,0.1942,0.1933,0.2007,0.205,0.2117,0.2118,0.22
97,0.2835,0.2835,0.2835,0.2754,0.3015,0.3015,0.423,0.4204,0.396,0.3743,0.3529,0.3423,0.3222,0.3073,0.3045,0.2955,0.2855,0.2695,0.2664,0.2567,3.6034,0,5.2958,5.3082,8.1915,7.4441,7.1177,8.4785,6.7045,0.3409,0.3409,0.3409,0.3065,0.285,0.2861,0.2871,0.2851,0.283,0.2789,0.2464,0.165,0.1658,0.1655,0.1637,0.165,0.1661,0.1648,0.1638,0.1715,0.1762,0.1832,0.1833,0.192
98,0.268,0.268,0.268,0.2641,0.2785,0.2785,0.4102,0.4075,0.3826,0.3604,0.3386,0.3278,0.3074,0.2923,0.2894,0.2802,0.2701,0.2538,0.2507,0.2408,3.7321,0,5.875,5.8935,9.2883,8.2291,8.0503,9.4682,7.5884,0.3079,0.3079,0.3079,0.2849,0.2705,0.2712,0.2719,0.2706,0.2692,0.2665,0.2284,0.1333,0.1343,0.1343,0.1327,0.1342,0.1356,0.1343,0.1333,0.1414,0.1463,0.1537,0.1539,0.163
99,0.2541,0.2541,0.2541,0.2529,0.2588,0.2588,0.3972,0.3945,0.369,0.3464,0.3242,0.3132,0.2924,0.2771,0.2741,0.2648,0.2546,0.238,0.2349,0.2248,3.9434,0,6.5965,6.6239,10.7242,9.1619,9.253,10.7038,8.7085,0.2748,0.2748,0.2748,0.2633,0.2561,0.2565,0.2568,0.2561,0.2555,0.2541,0.2102,0.1004,0.1016,0.1019,0.1006,0.1023,0.1041,0.1029,0.1018,0.1103,0.1154,0.1233,0.1234,0.133
100,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.3841,0.3814,0.3554,0.3323,0.3097,0.2985,0.2773,0.2617,0.2588,0.2493,0.2389,0.2221,0.2189,0.2087,4.18,0,7.52,7.561,12.6783,10.3385,10.88,12.3333,10.2609,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.2417,0.1916,0.0663,0.0677,0.0684,0.0674,0.0694,0.0716,0.0704,0.0692,0.0782,0.0836,0.0918,0.0919,0.102
